"","age","ed","union","employ","income","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","cars","carown","carbuy","commute","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","card2fee","card2tenure","carditems","card2items","card2spent","active","tenure","churn","longmon","lnlongmon","longten","tollfree","tollmon","lntollmon","tollten","lntollten","equip","equipmon","equipten","callcard","cardmon","lncardmon","cardten","lncardten","wireless","wiremon","lnwiremon","wireten","lnwireten","multline","voice","pager","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","townsize","gender","birthmonth","jobcat","retire","hometype","addresscat","cartype","carvalue","carbought","card2","card2type","card2benefit","bfast","internet","Customer_cat"
"2639",32,20,0,1,59,7,1.65,0.5,2.48,0.91,1,2,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,1,0,8,27,1,0,0,0,0,0,0,1,0,0,9,5,0,0,0,4,2,3,1,9,0,8,8,4,127.43,0,18,0,4.4,1.48,81.6,0,0,2.33,0,5.46,0,0,0,0,0,2.14,0,5.27,0,0,2.68,0,5.82,1,0,0,0,0,0,0,0,1,23,1,1,1,0,1,1,1,0,0,1,0,1,"2","0","November","2","0","3","2","1","19.3","1","2","3","1","2","0","low_spend_cust"
"2640",26,12,0,6,26,9.6,1.59,0.46,0.91,-0.1,0,5,1,13,2,4,3,0,0,3,0,0,0,0,0,2,0,0,1,26,1,0,1,0,1,0,0,1,0,0,9,4,0,1,1,2,2,4,0,8,0,8,12,7,172.27,1,52,0,17.2,2.84,908.35,0,0,2.55,0,6.62,1,28.55,1584.2,1,7.5,2.01,405,6,0,0,2.83,0,6.98,0,0,0,0,0,0,0,1,1,16,1,1,1,0,1,1,1,0,1,0,0,0,"1","0","October","6","0","2","1","0","15.9","1","3","2","3","3","2","medium_spend_cust"
"2654",66,16,0,4,10,4.5,0.16,-1.82,0.29,-1.24,0,2,1,14,2,2,0,0,0,0,0,0,0,0,0,3,0,1,1,29,1,0,0,0,0,0,0,1,0,0,9,5,0,1,1,4,2,4,0,21,1,11,7,0,0,1,46,1,6.5,1.87,293.3,0,0,2.64,0,6.65,0,0,0,0,0,1.5,0,5.22,0,0,2.88,0,6.76,1,0,0,0,0,0,0,1,1,27,0,1,0,0,1,0,0,0,1,0,0,0,"2","1","March","2","1","2","4","1","6.3","0","2","4","2","2","3","low_spend_cust"
"2659",54,9,1,22,91,13.3,1.03,0.03,11.07,2.4,0,5,0,-1,-1,1,1,1,0,0,0,0,0,0,1,2,1,0,1,36,1,0,0,1,0,0,0,0,0,1,9,3,0,0,1,3,1,1,0,25,0,16,9,5,192.29,0,41,0,12.4,2.52,440.85,1,17.75,2.88,843,6.74,0,0,0,0,0,1.98,0,5.69,0,0,2.83,0,6.75,0,0,0,0,1,1,1,0,1,27,1,1,1,0,0,0,0,0,0,0,0,0,"4","1","December","5","0","1","5","1","54.4","1","2","1","3","2","0","medium_spend_cust"
"2666",26,17,1,0,18,2.8,0.34,-1.09,0.17,-1.79,0,1,1,16,3,5,8,0,1,0,0,0,0,7,1,1,1,1,10,32,0,0,0,1,0,0,0,0,0,1,9,6,0,1,1,4,2,2,0,6,0,5,8,5,107.61,1,20,1,11.4,2.43,196,1,13.25,2.58,260.15,5.56,1,31.8,617.15,0,0,2.66,0,5.48,1,25.55,3.24,481.1,6.18,0,1,0,1,1,1,1,0,1,25,1,0,1,0,1,1,1,0,0,0,0,0,"2","1","November","2","0","1","2","1","8.8","0","3","4","2","3","4","low_spend_cust"
"2668",28,17,0,3,20,12.6,0.88,-0.12,1.64,0.49,1,2,0,-1,-1,1,3,1,1,0,0,1,0,0,0,2,1,0,1,20,1,0,0,0,0,0,1,1,0,0,9,4,1,0,1,2,2,3,0,5,0,4,2,4,72.35,0,19,0,4.4,1.48,83.75,0,0,2.71,0,4.07,1,25.55,415.2,0,0,2.28,0,3,0,0,2.64,0,2.68,0,0,0,0,0,1,0,1,1,15,1,1,0,0,1,0,1,0,0,0,0,0,"3","1","May","6","0","2","2","0","8.9","0","4","2","4","3","1","low_spend_cust"
"2691",25,19,0,0,18,8.9,0.34,-1.07,1.26,0.23,1,1,0,-1,-1,1,0,0,0,0,0,0,0,0,1,3,0,0,1,17,1,1,0,1,0,0,0,1,0,0,9,3,0,0,1,4,1,4,0,3,0,2,10,8,189.84,1,6,1,3.55,1.27,16.4,0,0,2.08,0,4.24,1,31.55,117.7,1,10,2.3,45,3.81,1,20.45,3.02,99.65,4.6,0,1,1,1,0,1,1,0,1,20,0,0,1,0,1,1,1,1,0,0,0,1,"1","1","November","2","0","1","1","1","8.1","0","3","3","2","1","1","medium_spend_cust"
"2692",69,12,0,23,111,5,1.06,0.06,4.49,1.5,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,0,4,1,0,1,18,1,0,1,1,0,0,0,1,0,1,9,5,0,0,1,2,4,4,0,10,1,16,9,4,122.4,0,47,0,7.9,2.07,382.3,1,36.75,3.6,1748.15,7.47,0,0,0,1,16.5,2.8,765,6.64,0,0,2.7,0,6.46,0,0,0,1,1,1,1,0,1,15,1,1,1,0,0,0,0,0,0,0,0,0,"1","1","December","1","0","2","5","0","64.5","0","3","3","4","2","0","medium_spend_cust"
"2695",36,13,0,14,60,10.9,1.07,0.06,5.47,1.7,0,4,1,12,2,3,8,3,0,0,0,0,0,5,1,2,1,0,1,25,1,0,0,0,1,1,0,0,0,1,9,4,0,0,1,1,4,3,0,5,0,2,5,7,988.65,1,10,1,4.25,1.45,46.05,0,0,2.6,0,4.86,1,29.5,291.85,1,12.75,2.55,115,4.74,0,0,2.68,0,4.83,0,1,0,1,1,1,1,1,1,19,1,1,1,1,1,1,1,0,0,0,0,0,"4","1","November","3","0","3","3","0","27.7","1","3","3","4","3","1","medium_spend_cust"
"2713",32,18,0,0,38,14.6,2.44,0.89,3.11,1.13,0,1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,-1,1,5,42,0,0,1,0,1,0,0,0,0,1,2,3,1,1,1,1,3,2,1,8,0,5,19,5,111.73,1,24,0,6.1,1.81,128.45,0,0,2.48,0,5.64,1,28.3,622,0,0,2.08,0,5.11,0,0,2.82,0,5.77,0,0,0,0,0,0,0,1,1,24,1,1,1,0,1,1,1,0,0,0,1,0,"3","1","January","1","0","2","3","-1","-1","-1","4","1","3","1","4","medium_spend_cust"
"2719",66,11,0,23,26,6.9,0.33,-1.11,1.46,0.38,0,3,1,12,2,2,0,0,0,0,0,0,0,0,0,2,1,0,5,24,0,0,0,1,1,0,0,1,0,0,9,6,1,0,0,1,4,4,0,40,0,30,11,11,371.41,1,71,0,43.6,3.78,3132.45,1,33.5,3.51,2447.1,7.8,0,0,0,1,26.75,3.29,1820,7.51,0,0,2.93,0,7.18,1,0,0,1,1,1,0,0,1,20,1,1,1,0,1,0,0,0,1,1,0,0,"1","0","February","3","1","2","5","0","9.9","1","2","1","2","3","0","medium_spend_cust"
"2720",39,18,0,2,112,7.4,3.64,1.29,4.65,1.54,0,1,1,14,2,3,2,2,0,0,0,0,0,0,1,2,1,0,1,38,1,0,0,1,0,0,0,1,0,0,9,2,0,0,1,4,1,3,0,11,1,9,15,5,164.8,0,35,1,4.85,1.58,159.95,1,17.5,2.86,618.1,6.43,1,40.95,1406.55,1,29,3.37,1015,6.92,1,34.9,3.55,1274.15,7.15,1,1,0,0,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,0,0,0,"4","1","April","1","0","1","3","1","36.9","1","3","2","4","3","4","medium_spend_cust"
"2725",26,10,0,3,20,18.3,1.75,0.56,1.91,0.65,1,2,0,-1,-1,3,7,0,0,0,0,0,0,7,1,0,-1,0,4,22,0,0,0,1,0,0,0,0,0,0,9,4,1,0,1,2,4,3,1,3,1,5,5,6,63.53,1,5,0,3.15,1.15,18.85,0,0,2.42,0,3.86,0,0,0,0,0,1.79,0,3.31,0,0,2.68,0,3.59,0,0,0,0,0,0,0,0,1,23,0,1,0,0,1,0,0,0,0,0,0,0,"1","0","February","1","0","3","2","-1","-1","-1","3","1","4","1","0","low_spend_cust"
"2728",20,11,0,2,13,7.5,0.32,-1.15,0.66,-0.42,0,1,1,12,2,2,0,0,0,0,0,0,0,0,0,2,1,0,8,32,1,0,0,0,0,0,0,1,1,0,9,3,0,0,0,2,3,1,0,3,0,1,13,7,113.32,1,7,0,5.05,1.62,30.35,0,0,2.4,0,4.63,0,0,0,0,0,1.79,0,3.81,0,0,2.93,0,4.57,0,0,0,1,1,1,1,0,1,25,0,1,0,0,0,0,0,0,0,0,0,0,"5","1","January","4","0","2","1","1","5.8","1","5","3","4","1","0","low_spend_cust"
"2744",18,13,0,0,20,2.3,0.13,-2.04,0.33,-1.11,1,2,0,-1,-1,4,0,0,0,0,0,0,0,0,1,3,1,0,1,17,1,0,1,0,0,0,0,0,0,0,9,2,0,0,0,3,4,3,0,0,0,0,10,2,39.77,0,7,1,20.95,3.04,131.75,1,27,3.3,190,5.25,0,0,0,1,21,3.04,120,4.79,0,0,2.93,0,4.78,1,0,1,1,1,1,1,0,1,26,1,1,1,0,1,1,0,0,0,0,0,0,"1","0","October","1","0","1","1","0","11.7","0","5","4","4","3","2","medium_spend_cust"
"2745",79,21,0,12,26,4.1,0.43,-0.83,0.63,-0.46,0,5,0,-1,-1,1,6,3,0,0,0,3,0,0,1,1,1,1,8,18,1,0,0,0,0,0,0,1,0,0,9,3,0,0,0,2,4,3,0,27,1,15,10,6,154.35,0,58,0,13.7,2.62,781.9,1,42.75,3.76,2470.9,7.81,1,75.8,4395.3,1,16.5,2.8,885,6.79,1,85.95,4.45,4898.6,8.5,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,0,0,0,"2","1","April","6","1","3","5","0","16.4","0","3","1","2","2","4","medium_spend_cust"
"2748",30,18,0,1,26,8.6,1.15,0.14,1.08,0.08,0,2,0,-1,-1,1,1,0,1,0,0,0,0,0,1,4,1,1,1,18,1,0,0,0,0,0,0,1,0,1,9,2,0,0,1,3,3,3,0,12,0,12,7,5,81.09,0,47,1,11.5,2.44,588.4,0,0,2.37,0,6.22,0,0,0,1,10.75,2.37,490,6.19,0,0,2.7,0,6.66,0,0,0,0,0,0,0,1,1,31,1,1,1,0,1,1,1,0,0,0,0,0,"1","0","September","2","0","1","2","0","12.3","1","2","2","4","1","2","low_spend_cust"
"2754",64,15,1,28,180,2.8,2.36,0.86,2.68,0.98,0,5,1,10,1,2,1,1,0,0,0,0,0,0,1,4,1,1,1,36,1,0,0,0,1,0,0,0,1,0,1,6,0,0,1,1,3,4,0,40,0,30,10,2,68.14,1,71,0,27.85,3.33,2047.6,0,0,2.71,0,7.02,1,43.2,3009.2,1,29,3.37,2035,7.62,1,42.15,3.74,2954.15,7.99,1,1,1,1,1,0,0,1,1,20,1,1,1,1,1,1,1,0,1,0,0,0,"5","0","February","5","0","1","5","0","87.6","1","2","4","1","3","4","medium_spend_cust"
"2756",60,14,0,17,12,10.5,0.67,-0.41,0.59,-0.52,0,2,0,-1,-1,1,4,0,4,0,0,0,0,0,0,1,1,0,3,24,0,0,1,1,0,1,0,1,1,0,2,6,1,0,1,3,3,2,0,22,0,15,6,4,141.03,1,47,0,13.9,2.63,656.7,0,0,2.44,0,6.44,0,0,0,0,0,1.83,0,5.84,0,0,2.68,0,6.7,1,0,0,0,0,0,0,1,1,17,1,1,1,0,0,1,0,0,1,0,0,0,"5","0","July","6","1","4","2","0","5.4","0","1","1","4","1","0","medium_spend_cust"
"2757",35,11,0,6,37,20.9,2.61,0.96,5.12,1.63,1,2,0,-1,-1,2,5,0,0,0,1,0,0,4,0,2,0,0,4,30,0,0,0,1,0,0,1,0,1,0,9,4,0,0,0,5,2,2,0,17,0,14,11,5,109.95,1,45,0,7.05,1.95,330.7,0,0,2.25,0,6.2,0,0,0,1,10.5,2.35,495,6.2,0,0,2.82,0,6.63,1,0,0,0,0,0,0,0,1,27,1,1,1,0,0,0,0,0,0,0,0,0,"5","0","March","2","0","2","2","1","13.3","0","3","4","3","3","0","medium_spend_cust"
"2759",68,8,0,32,186,7.3,4.89,1.59,8.69,2.16,0,2,0,-1,-1,1,0,0,0,0,0,0,0,0,1,2,1,1,4,25,0,0,0,1,0,0,0,0,0,1,9,6,1,0,0,2,3,1,0,39,1,27,8,6,263.4,0,71,0,37.85,3.63,2692.15,1,42,3.74,3026.95,8.02,0,0,0,1,15.5,2.74,1035,6.94,0,0,2.79,0,7.06,1,0,0,1,1,1,1,0,1,19,1,1,1,0,0,0,0,0,0,1,0,0,"2","0","November","6","0","1","5","1","83.8","0","5","3","3","3","0","medium_spend_cust"
"2765",47,15,0,16,106,5.6,0.09,-2.42,5.85,1.77,0,5,0,-1,-1,1,4,0,4,0,0,0,0,0,0,3,1,1,1,20,1,0,1,0,0,0,1,0,0,0,9,4,0,0,0,5,2,4,0,13,0,9,15,10,259.45,0,42,0,9.35,2.24,403.4,1,18,2.89,696,6.55,1,31.65,1340.65,1,14.25,2.66,610,6.41,0,0,2.9,0,6.55,0,1,1,0,1,1,0,1,1,25,1,1,1,0,1,1,1,1,0,0,1,0,"1","0","January","4","0","2","4","1","67.7","1","3","1","3","3","4","medium_spend_cust"
"2770",66,9,0,15,68,12.7,2.16,0.77,6.48,1.87,0,4,0,-1,-1,2,5,0,0,0,0,0,0,5,1,3,1,0,1,22,1,0,1,1,0,0,0,1,0,1,9,4,0,0,0,3,3,4,0,18,0,5,5,8,147.62,0,26,0,7.65,2.03,176.05,0,0,2.3,0,5.78,0,0,0,1,10.5,2.35,285,5.65,0,0,2.64,0,6.1,0,0,0,0,0,0,0,0,1,23,1,1,1,0,0,0,0,0,0,0,0,0,"4","0","January","2","0","1","5","1","25.3","1","4","4","4","2","0","low_spend_cust"
"2771",38,15,0,0,33,6.2,0.81,-0.21,1.23,0.21,0,1,0,-1,-1,1,3,1,2,0,0,0,0,0,1,1,1,0,8,28,0,0,0,0,1,1,0,1,0,0,9,6,1,1,1,2,2,3,1,3,0,3,5,11,510.56,1,14,1,4.15,1.42,56.4,1,20.5,3.02,297.55,5.7,0,0,0,1,16.75,2.82,220,5.39,0,0,2.82,0,5.35,0,0,0,1,1,0,1,0,1,22,1,1,1,0,0,1,0,0,1,0,0,0,"2","0","August","2","0","1","3","0","19.6","0","4","1","4","1","0","low_spend_cust"
"2774",49,15,0,2,59,11.4,4.77,1.56,1.96,0.67,1,3,1,14,2,2,7,0,1,1,0,0,0,5,0,3,1,1,1,29,1,0,1,0,0,0,0,1,0,0,9,4,0,0,1,2,3,4,1,4,1,5,11,4,58.63,1,16,0,8.2,2.1,126.45,1,28.75,3.36,448.65,6.11,1,36.5,513.5,1,8.5,2.14,130,4.87,1,26.55,3.28,393.35,5.97,0,1,1,0,1,1,1,1,1,20,1,1,1,0,1,0,1,0,0,0,0,0,"3","1","June","2","0","2","4","0","30.1","1","4","1","2","3","3","low_spend_cust"
"2775",69,19,0,10,81,8.8,2.8,1.03,4.33,1.46,0,5,1,16,3,2,0,0,0,0,0,0,0,0,1,2,1,0,1,22,1,0,0,0,1,0,0,0,0,0,9,2,0,0,1,4,2,3,0,34,1,25,11,4,148.49,0,68,0,16.3,2.79,1099.3,0,0,2.51,0,6.78,0,0,0,1,20,3,1455,7.28,0,0,2.89,0,7.35,1,0,0,0,1,1,1,0,1,22,1,1,1,0,1,1,0,0,1,1,0,0,"2","1","October","2","0","3","5","0","48.1","0","1","1","2","3","1","medium_spend_cust"
"2780",58,17,0,8,62,13.1,4.61,1.53,3.52,1.26,0,4,0,-1,-1,3,2,2,0,0,0,0,0,0,1,3,1,0,1,31,1,0,0,1,0,0,1,1,0,1,4,3,0,0,1,4,2,3,1,11,0,4,5,10,231.81,0,24,1,15.45,2.74,372.2,0,0,2.64,0,5.95,1,33.15,773.55,1,7.25,1.98,200,5.3,0,0,2.68,0,6.13,0,0,0,0,0,0,0,1,1,21,1,1,1,0,1,1,1,0,0,0,0,0,"4","1","June","2","0","2","5","1","29.5","0","1","2","1","2","2","low_spend_cust"
"2798",39,14,0,4,24,1,0.08,-2.51,0.16,-1.84,0,2,1,12,2,4,1,0,1,0,0,0,0,0,0,0,-1,1,8,22,0,0,0,0,0,0,0,1,0,0,9,4,0,0,0,2,2,4,0,11,1,8,8,4,63.69,1,29,0,7.5,2.01,227.25,0,0,2.48,0,5.69,1,20.5,544.05,0,0,1.45,0,4.7,0,0,2.82,0,6.2,0,0,0,0,0,0,0,1,1,22,1,1,1,0,1,0,0,0,0,0,0,0,"1","1","July","2","0","2","3","-1","-1","-1","5","1","1","3","4","medium_spend_cust"
"2802",23,18,0,0,79,4.2,0.43,-0.85,2.89,1.06,1,1,0,-1,-1,1,2,1,1,0,0,0,0,0,1,3,1,0,1,21,1,0,0,1,0,0,0,0,0,0,9,4,0,0,0,2,3,4,0,5,0,3,12,5,165.85,1,9,1,3.5,1.25,37.95,0,0,2.69,0,4.47,0,0,0,0,0,1.75,0,2.71,0,0,2.68,0,3.76,0,0,0,1,0,1,0,1,1,23,1,1,1,0,1,1,1,0,0,0,0,0,"1","0","April","1","0","1","1","1","42.8","0","1","2","4","3","3","medium_spend_cust"
"2809",18,13,1,0,20,15.1,0.51,-0.68,2.51,0.92,1,1,0,-1,-1,1,2,1,1,0,0,0,0,0,1,1,1,1,6,33,0,0,0,0,0,1,1,0,0,0,9,4,0,1,0,2,3,3,0,0,1,0,14,5,70.8,0,11,0,5.15,1.64,70.4,0,0,2.42,0,4.07,0,0,0,0,0,1.7,0,3,0,0,2.64,0,4.08,1,0,0,0,0,1,0,0,1,28,1,0,0,0,0,1,1,0,0,0,0,0,"4","1","June","2","0","1","1","1","8.8","0","4","3","1","3","0","medium_spend_cust"
"2811",53,14,0,16,181,16.6,6.37,1.85,23.68,3.16,0,4,1,10,1,2,2,0,2,0,0,0,0,0,1,4,1,1,1,24,1,0,1,0,0,0,0,1,0,1,9,6,1,0,1,4,4,3,0,34,0,27,11,9,618.12,1,68,0,27.55,3.32,1925.95,0,0,2.48,0,6.82,0,0,0,1,19.75,2.98,1280,7.15,0,0,3.1,0,7.46,1,0,0,0,0,0,0,1,1,23,1,1,1,0,0,1,0,0,1,0,0,0,"1","0","April","1","0","1","5","0","89.3","0","2","1","4","2","0","medium_spend_cust"
"2817",56,17,0,5,112,3.3,1.08,0.08,2.62,0.96,0,5,1,16,3,2,0,0,0,0,0,0,0,0,1,3,1,1,1,21,1,0,0,0,0,0,0,1,0,0,3,4,0,0,1,1,3,4,0,7,0,4,11,6,303.92,0,20,1,11.45,2.44,212.05,1,15,2.71,281,5.64,1,39.9,795.5,1,7.5,2.01,120,4.79,0,0,2.68,0,5.62,0,0,0,0,1,0,0,0,1,16,1,1,1,0,0,1,1,0,0,0,0,0,"2","0","December","1","0","1","4","1","46.3","0","4","3","4","2","0","medium_spend_cust"
"2827",37,16,0,7,54,7.1,1.04,0.03,2.8,1.03,0,1,1,16,3,2,0,0,0,0,0,0,0,0,1,3,1,0,1,29,1,0,0,0,1,0,0,0,0,0,9,3,0,0,0,4,3,1,1,10,0,10,13,4,172.14,0,26,1,5.4,1.69,117.75,1,54.5,4,1414.4,7.25,1,62.05,1530.5,1,55.75,4.02,1390,7.24,1,68.25,4.22,1672.4,7.42,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,0,0,0,"4","1","September","1","0","1","1","1","28.1","1","3","4","3","3","2","medium_spend_cust"
"2829",65,11,0,6,30,1.4,0.19,-1.66,0.23,-1.47,0,4,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,4,30,0,0,0,1,1,0,0,0,0,0,1,4,0,0,1,3,4,1,0,7,0,7,9,0,0,0,17,0,4.45,1.49,83.45,1,16,2.77,270.1,5.6,0,0,0,0,0,1.91,0,4.38,0,0,2.64,0,5.39,0,0,0,0,0,0,1,0,1,20,1,1,1,0,0,0,0,0,0,0,0,0,"3","0","October","2","0","2","4","0","17","1","2","4","4","2","0","medium_spend_cust"
"2833",62,15,0,23,66,12.7,4,1.39,4.38,1.48,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,3,1,1,1,28,1,0,0,0,1,0,0,0,0,0,9,4,0,0,0,1,2,4,0,27,0,18,9,4,202.69,0,67,1,17.05,2.84,1141.5,1,18.5,2.92,1195.45,7.09,0,0,0,1,37,3.61,2410,7.79,0,0,2.9,0,6.98,1,0,0,0,0,0,1,0,1,19,1,1,1,0,1,0,1,0,1,0,1,0,"3","0","June","4","0","3","5","0","30.8","0","3","1","3","3","0","medium_spend_cust"
"2834",25,11,0,1,32,5.3,0.13,-2.06,1.57,0.45,0,2,1,10,1,5,1,1,0,0,0,0,0,0,0,1,1,0,4,30,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,4,2,3,0,7,0,4,15,6,89.22,0,29,0,5.5,1.7,142.65,1,30,3.4,867.85,6.77,0,0,0,1,19.25,2.96,565,6.34,1,32.1,3.47,848.15,6.74,0,1,1,1,1,1,1,0,1,21,1,1,1,1,1,0,1,0,1,0,0,0,"3","1","April","2","0","2","1","1","17.5","0","2","3","4","3","3","medium_spend_cust"
"2837",33,14,0,2,28,10.6,0.86,-0.15,2.11,0.75,1,4,0,-1,-1,1,0,0,0,0,0,0,0,0,1,2,1,0,4,35,1,0,0,1,1,0,1,1,0,1,9,6,1,1,0,2,1,4,0,3,0,2,9,2,34.44,1,15,0,3.8,1.34,67.25,1,17.5,2.86,272.55,5.61,0,0,0,0,0,1.75,0,4.7,0,0,2.54,0,5.44,0,0,0,0,0,0,0,0,1,25,0,1,1,0,1,0,0,0,0,0,0,0,"5","1","August","2","0","1","3","1","11.5","0","3","3","2","1","0","low_spend_cust"
"2846",44,8,0,2,22,9.6,1.05,0.05,1.06,0.06,0,1,1,9,1,2,4,0,0,0,0,0,0,4,0,2,1,1,1,22,1,0,0,0,0,0,0,1,0,0,9,4,1,0,1,3,2,4,0,5,0,4,11,6,83.45,1,6,1,5.5,1.7,21.95,0,0,2.25,0,3.33,0,0,0,0,0,1.56,0,2.48,0,0,2.54,0,3.1,0,0,0,0,0,0,0,0,1,27,1,0,1,0,0,0,0,0,0,0,0,0,"3","0","November","2","0","2","4","0","10.4","0","4","4","4","2","0","medium_spend_cust"
"2854",65,16,1,19,122,18.7,0.89,-0.12,21.92,3.09,0,3,1,15,3,3,3,0,0,0,0,0,0,3,1,4,1,1,1,21,1,0,0,0,0,0,0,1,0,0,9,2,1,0,1,4,3,2,1,31,0,25,14,3,90.44,1,66,1,22.4,3.11,1448.7,1,23.5,3.16,1627.7,7.39,1,38.7,2551.3,1,11.75,2.46,765,6.64,1,60.7,4.11,3888.15,8.27,1,1,1,0,0,0,1,1,1,19,1,1,1,0,1,1,1,1,1,0,0,0,"2","0","February","1","0","1","5","1","56.8","0","2","1","4","3","3","medium_spend_cust"
"2855",34,15,1,1,31,11.9,0.78,-0.25,2.91,1.07,1,2,0,-1,-1,1,2,1,1,0,0,0,0,0,1,3,1,1,1,22,1,0,0,0,1,0,0,0,0,0,9,4,1,0,0,3,4,4,0,17,0,12,14,10,234.71,1,39,0,7.25,1.98,305.2,1,21,3.04,838.4,6.73,1,29,1052.5,0,0,1.91,0,5.46,0,0,2.83,0,6.48,0,0,0,1,1,1,1,0,1,21,1,1,1,0,0,1,0,0,1,0,0,0,"1","1","July","2","0","1","2","1","11.7","0","2","2","4","1","0","medium_spend_cust"
"2873",44,10,0,7,34,2,0.38,-0.98,0.3,-1.19,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,1,1,4,15,1,0,0,1,0,0,0,1,0,0,9,2,0,0,1,4,3,3,0,6,0,8,9,3,92.31,1,20,0,5.65,1.73,101,1,21.75,3.08,452.9,6.12,1,23.35,481.4,1,28.5,3.35,535,6.28,0,0,2.68,0,5.55,0,0,0,1,1,0,1,0,1,16,1,1,1,0,0,0,0,0,0,0,0,0,"3","0","February","2","0","1","3","1","17.2","0","2","1","3","1","0","medium_spend_cust"
"2876",21,16,0,0,21,3.2,0.17,-1.8,0.51,-0.68,1,2,1,12,2,2,0,0,0,0,0,0,0,0,1,2,0,0,6,34,1,0,0,1,0,1,1,0,0,0,9,2,0,0,0,2,2,4,0,3,1,3,7,6,313.06,0,23,0,9.75,2.28,240.8,1,23,3.14,528.7,6.27,0,0,0,1,14.25,2.66,340,5.83,1,31.5,3.45,712.45,6.57,1,1,1,1,1,1,1,0,1,25,1,1,1,0,0,1,0,1,0,0,0,0,"3","1","September","2","0","4","1","1","10.3","1","3","2","3","1","0","medium_spend_cust"
"2887",55,16,0,20,15,3.6,0.19,-1.66,0.35,-1.05,0,4,1,13,2,2,0,0,0,0,0,0,0,0,1,1,0,0,8,26,0,0,0,0,0,0,1,1,0,0,1,5,1,0,0,4,2,3,0,33,0,26,6,3,41.75,1,70,0,21.5,3.07,1495.95,1,19.5,2.97,1321.8,7.19,0,0,0,1,24,3.18,1675,7.42,0,0,2.95,0,6.98,1,0,0,0,0,0,0,0,1,27,1,1,1,0,1,1,0,0,1,0,0,0,"3","1","July","6","1","1","5","1","6.5","0","3","4","1","2","1","low_spend_cust"
"2898",21,16,0,0,17,3.1,0.16,-1.82,0.36,-1.01,0,1,1,13,2,3,6,0,0,0,0,0,0,6,1,3,0,0,1,33,1,1,0,1,1,0,0,1,0,1,9,4,0,0,0,1,3,2,0,1,0,2,9,3,90.35,1,5,0,3.8,1.34,21.1,0,0,2.28,0,3.21,1,39.5,177.55,0,0,1.7,0,2.3,1,21.15,3.05,73.1,4.29,0,1,1,0,0,0,0,1,1,18,0,0,0,1,1,1,1,0,0,0,0,0,"3","1","April","2","0","3","1","1","8.7","0","2","4","3","1","4","medium_spend_cust"
"2899",37,7,0,0,24,10.4,1.96,0.67,0.53,-0.63,0,2,1,10,1,2,2,2,0,0,0,0,0,0,0,2,0,0,1,16,1,0,1,0,0,0,0,0,0,0,9,3,1,0,0,5,4,4,1,13,1,8,9,7,155.03,1,30,0,6.25,1.83,167.35,0,0,2.25,0,5.78,0,0,0,1,6.5,1.87,145,4.98,0,0,2.68,0,5.97,0,0,0,0,0,0,0,0,1,22,1,1,1,0,0,0,0,0,0,0,1,0,"2","1","June","2","0","2","2","0","9.6","1","3","4","2","3","0","low_spend_cust"
"2909",64,20,0,20,193,7.6,6.34,1.85,8.33,2.12,0,4,0,-1,-1,1,2,0,2,0,0,0,0,0,1,3,1,1,1,19,1,0,0,1,1,0,0,0,0,0,9,5,0,0,0,1,1,3,0,29,0,26,13,3,227.05,0,57,0,20.9,3.04,1214.15,1,23.25,3.15,1364.45,7.22,0,0,0,0,0,2.08,0,6.27,0,0,2.79,0,6.81,0,1,0,1,1,1,1,0,1,20,1,1,1,0,0,0,0,0,1,0,0,0,"1","0","May","1","0","1","5","1","79.8","0","4","4","3","3","0","high_spend_cust"
"2911",22,10,1,2,16,16.8,0.49,-0.71,2.2,0.79,1,1,1,13,2,4,7,0,0,0,0,0,0,7,1,2,0,0,8,33,0,1,1,0,0,0,0,1,1,1,9,5,0,0,0,5,1,1,0,4,0,5,12,2,36.07,1,12,0,6.3,1.84,100.9,0,0,2.25,0,4.23,0,0,0,0,0,1.95,0,3.81,0,0,2.82,0,4.6,0,0,0,0,1,1,0,0,1,20,1,1,1,0,0,0,0,0,0,1,0,0,"5","0","December","2","0","1","1","0","8","1","2","4","2","1","0","low_spend_cust"
